model,fpr,tpr,threshold,roc_auc
ZScoreBaseline,0.5254931149981392,0.92,0.05773871545580546,0.7810011164867882
ZScoreBaseline,0.527353926311872,0.92,0.05749194199326651,0.7810011164867882
ZScoreBaseline,0.5284704131001117,0.92,0.0574035039285268,0.7810011164867882
ZScoreBaseline,0.5303312244138444,0.92,0.05715389881799846,0.7810011164867882
ZScoreBaseline,0.5310755489393375,0.92,0.057138201255593615,0.7810011164867882
ZScoreBaseline,0.5318198734648306,0.92,0.05698502935086889,0.7810011164867882
ZScoreBaseline,0.5329363602530703,0.92,0.05689584322113963,0.7810011164867882
ZScoreBaseline,0.5359136583550428,0.92,0.056485834657988836,0.7810011164867882
ZScoreBaseline,0.5366579828805359,0.92,0.05647347030075326,0.7810011164867882
ZScoreBaseline,0.5396352809825083,0.92,0.05626021206282958,0.7810011164867882
ZScoreBaseline,0.5396352809825083,0.94,0.056241336635426735,0.7810011164867882
ZScoreBaseline,0.5411239300334946,0.94,0.05590398170202977,0.7810011164867882
ZScoreBaseline,0.544101228135467,0.94,0.05585901248382012,0.7810011164867882
ZScoreBaseline,0.5519166356531447,0.94,0.05437878242370279,0.7810011164867882
ZScoreBaseline,0.5526609601786379,0.94,0.054345303353120114,0.7810011164867882
ZScoreBaseline,0.5563825828061034,0.94,0.05391450984420871,0.7810011164867882
ZScoreBaseline,0.5586155563825828,0.94,0.05389763478969118,0.7810011164867882
ZScoreBaseline,0.5623371790100484,0.94,0.05317585903673009,0.7810011164867882
ZScoreBaseline,0.563453665798288,0.94,0.053171104408512054,0.7810011164867882
ZScoreBaseline,0.5656866393747674,0.94,0.052835146547418776,0.7810011164867882
ZScoreBaseline,0.5664309639002605,0.94,0.05271414142289507,0.7810011164867882
ZScoreBaseline,0.5746185336806848,0.94,0.05157523797543538,0.7810011164867882
ZScoreBaseline,0.576107182731671,0.94,0.051475946001598175,0.7810011164867882
ZScoreBaseline,0.5809452921473762,0.94,0.05072682033886486,0.7810011164867882
ZScoreBaseline,0.5816896166728693,0.94,0.050664115217467616,0.7810011164867882
ZScoreBaseline,0.5969482694454782,0.94,0.04881317292175362,0.7810011164867882
ZScoreBaseline,0.5976925939709713,0.94,0.048800308252307176,0.7810011164867882
ZScoreBaseline,0.5980647562337179,0.94,0.0487724146448409,0.7810011164867882
ZScoreBaseline,0.5991812430219575,0.94,0.048731668377260506,0.7810011164867882
ZScoreBaseline,0.5999255675474506,0.94,0.04853980821824317,0.7810011164867882
ZScoreBaseline,0.6006698920729439,0.94,0.04853969463098116,0.7810011164867882
ZScoreBaseline,0.6021585411239301,0.94,0.04827059803497284,0.7810011164867882
ZScoreBaseline,0.6036471901749163,0.94,0.04822400766987334,0.7810011164867882
ZScoreBaseline,0.6092296241161146,0.94,0.04772048784557183,0.7810011164867882
ZScoreBaseline,0.6114625976925939,0.94,0.047704511765758094,0.7810011164867882
ZScoreBaseline,0.6125790844808336,0.94,0.0475684933169025,0.7810011164867882
ZScoreBaseline,0.6133234090063268,0.94,0.04756378558393597,0.7810011164867882
ZScoreBaseline,0.6226274655749907,0.94,0.04637631976409271,0.7810011164867882
ZScoreBaseline,0.6233717901004838,0.94,0.04628759683010765,0.7810011164867882
ZScoreBaseline,0.660215854112393,0.94,0.04205834380267369,0.7810011164867882
ZScoreBaseline,0.6613323409006326,0.94,0.042047663584093044,0.7810011164867882
ZScoreBaseline,0.6617045031633793,0.94,0.04204552045690177,0.7810011164867882
ZScoreBaseline,0.6628209899516189,0.94,0.04203363431734653,0.7810011164867882
ZScoreBaseline,0.6721250465202828,0.94,0.04084806956239219,0.7810011164867882
ZScoreBaseline,0.6728693710457759,0.94,0.040726897099168546,0.7810011164867882
ZScoreBaseline,0.6788239672497208,0.94,0.040228304992514036,0.7810011164867882
ZScoreBaseline,0.6788239672497208,0.96,0.04022573335160372,0.7810011164867882
ZScoreBaseline,0.6799404540379606,0.96,0.040191720654793255,0.7810011164867882
ZScoreBaseline,0.6806847785634537,0.96,0.04018787836351785,0.7810011164867882
ZScoreBaseline,0.6825455898771865,0.96,0.039970197408525816,0.7810011164867882
ZScoreBaseline,0.6888723483438779,0.96,0.03994368494391161,0.7810011164867882
ZScoreBaseline,0.6918496464458503,0.96,0.039552172118607065,0.7810011164867882
ZScoreBaseline,0.6933382954968367,0.96,0.039549724852390326,0.7810011164867882
ZScoreBaseline,0.7052474879047265,0.96,0.038459060291578445,0.7810011164867882
ZScoreBaseline,0.7052474879047265,0.98,0.03841675929536309,0.7810011164867882
ZScoreBaseline,0.7085969482694455,0.98,0.0381756883613838,0.7810011164867882
ZScoreBaseline,0.7097134350576851,0.98,0.03808352626978265,0.7810011164867882
ZScoreBaseline,0.7171566803126163,0.98,0.037038805034735216,0.7810011164867882
ZScoreBaseline,0.7179010048381094,0.98,0.03701944533367618,0.7810011164867882
