player_id,avg_rating,rating_band,n_games,ZScoreBaseline_score,ZScoreBaseline_label,LOF_score,LOF_label,IsolationForest_score,IsolationForest_label,OneClassSVM_score,OneClassSVM_label,Autoencoder_score,Autoencoder_label,HDBSCAN_score,HDBSCAN_label,ACPLSubAutoencoder_score,ACPLSubAutoencoder_label,anomaly_votes,ensemble_flag,ensemble_confident
ha-fez,1997.7209302325582,1800-2000,43,0.9039407508627589,1,-0.2603664713863165,1,-0.1687692826667505,1,-6.237949030037437,1,0.20105146,1,0.7526289759165775,1,0.034839716,1,0,False,False
Felixbis,1541.1020408163265,1400-1600,98,1.7699781772808865,1,-0.23241008139952934,1,-0.13916514161841687,1,-5.103216138563059,1,0.1517526,1,0.8389329540853028,1,0.12453839,1,0,False,False
Queenpunisher,1964.3333333333333,1800-2000,6,1.9753526944818547,1,-0.2110554316223512,1,-0.1438032912745602,1,-3.7459041411499667,1,0.43614793,1,1.0,1,0.08895726,1,0,False,False
titan110,2022.2222222222222,2000-2200,9,3.849654205867777,1,-0.10680149639865588,1,-0.04554195573955233,1,-0.7643780971443963,1,4.1224713,-1,1.0,1,0.04225681,1,1,False,False
Wiktor2010,1393.5833333333333,1200-1400,12,1.4667294891316378,1,-0.1708790344684492,1,-0.16624199148528984,1,-4.582209790846144,1,0.4590392,1,1.0,1,0.18862477,1,0,False,False
remfortz,1564.0,1400-1600,44,1.5051553913864097,1,-0.27158929264560916,1,-0.17097335887383425,1,-4.323843100617611,1,0.14048484,1,0.8279338631034042,1,0.012340256,1,0,False,False
Kelvyne,1575.923076923077,1400-1600,13,2.1979429892202296,1,-0.0077698498677012395,1,-0.11161110526795448,1,-3.948691093042803,1,0.69426465,1,1.0,1,0.47579765,1,0,False,False
godshavethequeen,1469.0,1400-1600,6,2.695922553786787,1,-0.020742913132705043,1,-0.06481062041938945,1,-2.0758422717796323,1,3.6507823,-1,1.0,1,0.1688766,1,1,False,False
perogru,2087.277777777778,2000-2200,36,1.5410439209970508,1,-0.0544774296356223,1,-0.13870169645116764,1,-2.533005263970158,1,1.2877914,1,0.9185567338659842,1,0.5000942,1,0,False,False
Mitchell82,2177.2631578947367,2000-2200,19,1.306447800909291,1,-0.258040032775134,1,-0.14933489856877868,1,-4.952013993693613,1,0.22572911,1,1.0,1,0.0010165547,1,0,False,False
RoberCitroen,1360.7619047619048,1200-1400,42,3.1734214491947115,1,-0.17433168448985858,1,-0.12022213124718162,1,-1.7340429339171495,1,0.9115811,1,1.0,1,0.45353258,1,0,False,False
dkkian,1597.36,1400-1600,25,2.236086778216875,1,-0.08075039286602981,1,-0.10543945194920967,1,-3.135219141031656,1,0.1508315,1,1.0,1,0.08531948,1,0,False,False
ALWI,1680.9787234042553,1600-1800,47,4.443576680141522,-1,-0.08078675313375161,1,-0.09130353240255051,1,-0.9484595144788299,1,2.5391111,-1,1.0,1,0.4100038,1,1,False,False
geor,1661.9655172413793,1600-1800,29,1.1707768650952062,1,-0.19945211831137266,1,-0.16863207408426562,1,-7.157364885921932,1,0.4227771,1,0.7456962457618825,1,0.03479611,1,0,False,False
kysak225,1683.0828402366865,1600-1800,169,2.1239573459292176,1,-0.2491787764474902,1,-0.14235484515323749,1,-5.268714302096792,1,0.1891939,1,0.9165453269263074,1,0.06046897,1,0,False,False
hseidema,1818.875,1800-2000,8,2.6587140710460555,1,-0.02317852325440173,1,-0.11739004726800428,1,-1.4147924384044623,1,1.8650475,-1,1.0,1,0.5820891,-1,1,False,False
wait-wait-go,1433.0333333333333,1400-1600,60,1.1248418896561665,1,-0.26308698360763727,1,-0.15502762446856483,1,-5.298555568009488,1,0.34403637,1,0.7353115487323121,1,0.04305678,1,0,False,False
sadegh1990,1126.142857142857,1000-1200,7,2.468712434053034,1,-0.0015265551175964731,1,-0.06807720370131609,1,-0.7625246212375467,1,1.6009965,-1,1.0,1,0.3714589,1,1,False,False
m53w,1632.625,1600-1800,8,2.695922553786787,1,-0.2533656204839845,1,-0.07670206191728024,1,-4.024100928169196,1,0.9724503,1,1.0,1,0.04653179,1,0,False,False
aladin_lt,1666.0,1600-1800,20,2.8271115053367946,1,-0.26289199147294173,1,-0.13026672589305183,1,-5.060281968612348,1,0.27984044,1,1.0,1,0.029546572,1,0,False,False
ChessTennis,1491.2857142857142,1400-1600,7,2.468712434053034,1,-0.047003419020910986,1,-0.11863932533887789,1,-3.5273229675329416,1,0.78360754,1,1.0,1,0.016000658,1,0,False,False
zefiro,1555.1739130434783,1400-1600,23,1.343675043498286,1,-0.28976813087518083,1,-0.17137076666201023,1,-6.169836497395909,1,0.13817152,1,0.40819649657674195,1,0.029327324,1,0,False,False
ShamakTheMan,1584.25,1400-1600,8,1.837627206821315,1,-0.20589149665137163,1,-0.1289379587766994,1,-4.843559658219292,1,0.40507364,1,1.0,1,0.074497744,1,0,False,False
Boucan,1985.142857142857,1800-2000,28,1.393582752148104,1,-0.28354651220126703,1,-0.17292169265492358,1,-4.269902610921364,1,0.07265564,1,0.8383913215293415,1,0.012568233,1,0,False,False
Kaspachov,1947.1929824561403,1800-2000,57,0.5915832619184584,1,-0.30126210836330536,1,-0.1894719321245999,1,-7.1117688805549255,1,0.07843169,1,0.3633903995602522,1,0.014454376,1,0,False,False
ayham,1708.5584415584415,1600-1800,77,2.399903123553247,1,0.0004756176968032655,-1,-0.11000097462304825,1,-3.209045170423809,1,1.9702619,-1,1.0,1,0.8615948,-1,2,True,False
Blackknight880,1844.5714285714287,1800-2000,7,2.468712434053034,1,-0.04720847683852547,1,-0.10538148219264049,1,-4.041378224828045,1,1.092183,1,1.0,1,0.18056135,1,0,False,False
game13,1721.3059701492537,1600-1800,134,1.3698608581195602,1,-0.2703836348419364,1,-0.1589436101410736,1,-5.603180799550771,1,0.38385066,1,0.5770148580521288,1,0.025318868,1,0,False,False
jag7,1738.7254901960785,1600-1800,51,0.896968866259046,1,-0.24633837169776696,1,-0.17260085503493566,1,-6.020769907463385,1,0.4208257,1,0.4012032064263551,1,0.0189124,1,0,False,False
Afranius,1581.4545454545455,1400-1600,11,2.276188201442859,1,-0.03810441671328757,1,-0.04987487415808933,1,-2.7601926083955197,1,1.7738796,-1,1.0,1,0.15510312,1,1,False,False
lololulu,1540.764705882353,1400-1600,17,1.4894040510328819,1,-0.227348711471284,1,-0.1702604925589512,1,-7.724393687450889,1,0.589808,1,0.9138379677456926,1,0.09975624,1,0,False,False
TomThatGuy,1490.4444444444443,1400-1600,36,2.0262998271039288,1,-0.20357272394444936,1,-0.1542729345709275,1,-5.606211460773639,1,0.4315113,1,1.0,1,0.05184066,1,0,False,False
lesly1,1618.6,1600-1800,45,1.4843625386292425,1,-0.20607015394020345,1,-0.13270273257961074,1,-4.7346904786477895,1,0.39918184,1,1.0,1,0.023576923,1,0,False,False
chessobernoob,1290.125,1200-1400,8,2.468712434053034,1,-0.03812249384069566,1,-0.08396242674690468,1,-2.5012544863007387,1,1.8581738,-1,1.0,1,0.1655109,1,1,False,False
Mr_Spank,2157.0,2000-2200,14,1.2570946591413337,1,-0.2176755622555988,1,-0.14942972724127612,1,-3.3722909635285587,1,0.79711753,1,1.0,1,0.24880931,1,0,False,False
shahrokh20,1974.4,1800-2000,5,2.792625625478481,1,-0.25388546086181973,1,-0.08274154900765185,1,-1.1188480766940074,1,0.47130856,1,1.0,1,0.091377646,1,0,False,False
joluloor,1623.2857142857142,1600-1800,7,2.468712434053034,1,-0.26583829355894717,1,-0.10795791838107643,1,-1.9663755500832858,1,0.5913948,1,1.0,1,0.012155144,1,0,False,False
gambi_shah,2149.8888888888887,2000-2200,9,2.468712434053034,1,-0.13581534736217438,1,-0.09375289527072334,1,-3.2283268611838247,1,1.3604685,1,1.0,1,0.224,1,0,False,False
Helixbrecher,2056.6153846153848,2000-2200,13,2.3739962393141467,1,0.09386221886272006,-1,-0.13900117825296204,1,-2.5745139659858642,1,1.289564,1,1.0,1,0.10926955,1,1,False,False
