player_id,avg_rating,rating_band,n_games,ZScoreBaseline_score,ZScoreBaseline_label,LOF_score,LOF_label,IsolationForest_score,IsolationForest_label,OneClassSVM_score,OneClassSVM_label,Autoencoder_score,Autoencoder_label,HDBSCAN_score,HDBSCAN_label,ACPLSubAutoencoder_score,ACPLSubAutoencoder_label,anomaly_votes,ensemble_flag,ensemble_confident
MaWiTa,2115.8571428571427,2000-2200,21,2.2596569118288135,1,-0.2529228143517217,1,-0.13946718418054777,1,-1.9435085729657482,1,1.0819403,1,1.0,1,0.3647237,1,0,False,False
avicioo7,1527.111111111111,1400-1600,9,2.468712434053034,1,-0.16296591029291863,1,-0.125671827108017,1,-3.9135369211538285,1,1.5300964,1,1.0,1,0.32044291,1,0,False,False
Costas1603,2004.8636363636363,2000-2200,22,3.0003694434796495,1,-0.2056286434423069,1,-0.09773106028085671,1,-3.2813158551309902,1,1.5904626,1,1.0,1,0.68021446,-1,0,False,False
shvagi,1608.0,1600-1800,6,1.8599303765915631,1,0.03933777620943757,-1,-0.11168448198098119,1,-2.5306981290760184,1,1.5303179,1,1.0,1,0.25911477,1,1,False,False
JuanBaldelomar,1807.6153846153845,1800-2000,13,2.8691155845726373,1,-0.11987872177668857,1,-0.07249819725714834,1,-2.645078435275594,1,1.4890093,1,1.0,1,0.1911283,1,0,False,False
waltersafarian,2175.3,2000-2200,20,1.3677586841460623,1,-0.060169988689336096,1,-0.1636713098652402,1,-3.5844705497415204,1,0.15627198,1,0.83100422473776,1,0.40905455,1,0,False,False
nolletow,2262.5,2200+,20,3.461732165726871,1,-0.13728106653693972,1,-0.06917915670416153,1,-3.2499280384633797,1,0.5850847,1,1.0,1,0.11220203,1,0,False,False
mohamad-888,1788.009900990099,1600-1800,101,1.5213583785966864,1,-0.20301158641723016,1,-0.143503519180756,1,-5.382330278517421,1,0.20103484,1,0.8351386010076394,1,0.020578481,1,0,False,False
kaide58,1629.6623376623377,1600-1800,77,0.7572713076345082,1,-0.2897543268587087,1,-0.19051010250433653,1,-6.088383919671883,1,0.17676634,1,0.17582072809618476,1,0.02068483,1,0,False,False
pappista,1803.923076923077,1800-2000,65,1.7704065152298256,1,-0.24402507010467134,1,-0.17208186421209898,1,-5.343932766498349,1,0.34156862,1,0.8261392242705782,1,0.011457993,1,0,False,False
massimino,1528.5301204819277,1400-1600,83,1.1215913721053148,1,-0.23757208211664826,1,-0.1771600638954367,1,-5.886953404625106,1,0.20460498,1,0.6539937661129896,1,0.15946695,1,0,False,False
kuwait1956,2013.9550561797753,2000-2200,89,2.714231825872321,1,-0.21011231509889705,1,-0.11842506312967449,1,-5.80486555234143,1,0.3669038,1,1.0,1,0.17765051,1,0,False,False
caissart,1732.5,1600-1800,6,2.767278982034088,1,-0.24727335059282085,1,-0.017786428404752086,1,-0.5991450914304526,1,1.3393732,1,1.0,1,0.1535292,1,0,False,False
loosebutts,1763.56,1600-1800,50,1.8838633626162082,1,-0.24440149552071633,1,-0.11972011359687623,1,-3.2811863309749336,1,0.69850355,1,1.0,1,0.19757074,1,0,False,False
