player_id,avg_rating,rating_band,n_games,ZScoreBaseline_score,ZScoreBaseline_label,LOF_score,LOF_label,IsolationForest_score,IsolationForest_label,OneClassSVM_score,OneClassSVM_label,Autoencoder_score,Autoencoder_label,HDBSCAN_score,HDBSCAN_label,ACPLSubAutoencoder_score,ACPLSubAutoencoder_label,anomaly_votes,ensemble_flag,ensemble_confident,likely_explanation
BONICEK,1869.09375,1800-2000,32,11.424885334425205,-1,-0.09239786571533659,1,-0.04592258982953945,1,1.8838529521394904,-1,2.971526,-1,1.0,1,4.897726,-1,2,True,False,unexplained_deviation
aanaredo,1108.05,1000-1200,20,3.880867149005574,1,0.043966885144919754,-1,-0.0970414001332583,1,-1.9840473133195191,1,2.818615,-1,1.0,1,0.92185813,-1,2,True,False,unexplained_deviation
Labcho2,1767.2105263157894,1600-1800,19,2.695922553786787,1,0.06985148146137954,-1,-0.06997124460788878,1,-0.7485492658151784,1,3.2358959,-1,1.0,1,0.020069817,1,2,True,False,unexplained_deviation
Tihana,1912.3529411764705,1800-2000,17,3.6959856360338588,1,-0.01235059195253374,1,-0.008762937230745949,1,9.904408360217332e-05,-1,1.7402474,-1,1.0,1,0.08748456,1,2,True,False,unexplained_deviation
Pirat777,1619.709090909091,1600-1800,55,3.227169579772028,1,0.10401231314357551,-1,-0.08680407648139016,1,-1.4686677573319917,1,3.5082972,-1,1.0,1,1.3119836,-1,2,True,False,unexplained_deviation
Dragonaicoloso,1855.84,1800-2000,25,1.5697598898071972,1,0.02273589541485843,-1,-0.13295665031569154,1,-3.178567263354812,1,2.310002,-1,1.0,1,0.71483064,-1,2,True,False,unexplained_deviation
Geraltz,2057.75,2000-2200,16,11.37916041169647,-1,0.86334785971858,-1,-0.03267029795295373,1,4.230237577802047,-1,6.4773583,-1,1.0,1,6.275158,-1,3,True,True,unexplained_deviation
uncleg,2166.6805555555557,2000-2200,72,1.8430869471599254,1,0.09569386584639417,-1,-0.11136447544381756,1,-3.422921922454173,1,1.8297191,-1,0.9182637979435435,1,0.07176426,1,2,True,False,pool_mismatch
jakblak,1904.4324324324325,1800-2000,37,2.557190393534202,1,0.01381778545646073,-1,-0.11912629863852758,1,-3.9098183394492088,1,1.7991843,-1,1.0,1,0.73859036,-1,2,True,False,unexplained_deviation
cnv,1930.528735632184,1800-2000,87,4.44627869802544,-1,-0.08056819770541068,1,-0.04789497712551172,1,0.6419202026878645,-1,3.4660845,-1,1.0,1,0.27067566,1,2,True,False,unexplained_deviation
