model,fpr,tpr,threshold,roc_auc
ZScoreBaseline,0.3781168589505024,0.09,0.08088445508590587,0.4522925195385188
ZScoreBaseline,0.3799776702642352,0.09,0.08074753939319206,0.4522925195385188
ZScoreBaseline,0.38221064384071457,0.09,0.0803960303638184,0.4522925195385188
ZScoreBaseline,0.38221064384071457,0.1,0.08036164579233503,0.4522925195385188
ZScoreBaseline,0.38928172683289913,0.1,0.07890416134516995,0.4522925195385188
ZScoreBaseline,0.39002605135839225,0.1,0.07857828502551795,0.4522925195385188
ZScoreBaseline,0.3922590249348716,0.1,0.07846382250455408,0.4522925195385188
ZScoreBaseline,0.3933755117231113,0.1,0.07841911958169165,0.4522925195385188
ZScoreBaseline,0.3933755117231113,0.12,0.07826021162409906,0.4522925195385188
ZScoreBaseline,0.39486416077409753,0.12,0.07805922618338387,0.4522925195385188
ZScoreBaseline,0.39560848529959064,0.12,0.0778198213169217,0.4522925195385188
ZScoreBaseline,0.3985857834015631,0.12,0.07739309696827758,0.4522925195385188
ZScoreBaseline,0.3985857834015631,0.13,0.07738091720998215,0.4522925195385188
ZScoreBaseline,0.40044659471529587,0.13,0.0770186980100985,0.4522925195385188
ZScoreBaseline,0.40044659471529587,0.15,0.07658133426674134,0.4522925195385188
ZScoreBaseline,0.40863416449572015,0.15,0.07425206758497783,0.4522925195385188
ZScoreBaseline,0.40937848902121327,0.15,0.0742423806748074,0.4522925195385188
ZScoreBaseline,0.4116114625976926,0.15,0.07373074691501981,0.4522925195385188
ZScoreBaseline,0.4116114625976926,0.16,0.0737229912411585,0.4522925195385188
ZScoreBaseline,0.4123557871231857,0.16,0.07364155998443245,0.4522925195385188
ZScoreBaseline,0.41533308522515816,0.16,0.0736373669222497,0.4522925195385188
ZScoreBaseline,0.4160774097506513,0.16,0.07354319881618951,0.4522925195385188
ZScoreBaseline,0.4160774097506513,0.17,0.07352165448574814,0.4522925195385188
ZScoreBaseline,0.41793822106438405,0.17,0.07338063333694791,0.4522925195385188
ZScoreBaseline,0.41793822106438405,0.18,0.07333374291885386,0.4522925195385188
ZScoreBaseline,0.4190547078526237,0.18,0.07300945881245492,0.4522925195385188
ZScoreBaseline,0.4190547078526237,0.19,0.07299117468399281,0.4522925195385188
ZScoreBaseline,0.41979903237811683,0.19,0.07289179508863607,0.4522925195385188
ZScoreBaseline,0.42054335690361,0.19,0.07286030437025628,0.4522925195385188
ZScoreBaseline,0.42165984369184967,0.19,0.07237842752436727,0.4522925195385188
ZScoreBaseline,0.42165984369184967,0.2,0.0723738418245331,0.4522925195385188
ZScoreBaseline,0.4231484927428359,0.2,0.07187841797737524,0.4522925195385188
ZScoreBaseline,0.423892817268329,0.2,0.07185943690989545,0.4522925195385188
ZScoreBaseline,0.4257536285820618,0.2,0.07146959122500361,0.4522925195385188
ZScoreBaseline,0.4257536285820618,0.21,0.07142547396081188,0.4522925195385188
ZScoreBaseline,0.42612579084480834,0.21,0.07138172528444459,0.4522925195385188
ZScoreBaseline,0.427242277633048,0.21,0.07135177777433366,0.4522925195385188
ZScoreBaseline,0.427242277633048,0.22,0.07134336178652032,0.4522925195385188
ZScoreBaseline,0.4298474134722739,0.22,0.07087594139322505,0.4522925195385188
ZScoreBaseline,0.4298474134722739,0.23,0.07083753673861481,0.4522925195385188
ZScoreBaseline,0.43282471157424635,0.23,0.07061087042719523,0.4522925195385188
ZScoreBaseline,0.43282471157424635,0.24,0.0705474257451869,0.4522925195385188
ZScoreBaseline,0.43505768515072574,0.24,0.0698700842977568,0.4522925195385188
ZScoreBaseline,0.4361741719389654,0.24,0.06980057323874762,0.4522925195385188
ZScoreBaseline,0.43654633420171196,0.24,0.0697105312068471,0.4522925195385188
ZScoreBaseline,0.4372906587272051,0.24,0.06968727110505953,0.4522925195385188
ZScoreBaseline,0.4421287681429103,0.24,0.06891451129257474,0.4522925195385188
ZScoreBaseline,0.4428730926684034,0.24,0.06883577885742112,0.4522925195385188
ZScoreBaseline,0.4428730926684034,0.25,0.06879971900306933,0.4522925195385188
ZScoreBaseline,0.44324525493114997,0.25,0.06871398511843858,0.4522925195385188
ZScoreBaseline,0.44324525493114997,0.26,0.06869705918223457,0.4522925195385188
ZScoreBaseline,0.44585039077037586,0.26,0.06837764535165584,0.4522925195385188
ZScoreBaseline,0.44585039077037586,0.27,0.06830661969601774,0.4522925195385188
ZScoreBaseline,0.4462225530331224,0.27,0.06827070767299329,0.4522925195385188
ZScoreBaseline,0.44733903982136214,0.27,0.0682461832843033,0.4522925195385188
ZScoreBaseline,0.4503163379233346,0.27,0.06772706750434794,0.4522925195385188
ZScoreBaseline,0.4510606624488277,0.27,0.0677232037089797,0.4522925195385188
ZScoreBaseline,0.4518049869743208,0.27,0.06761556012626554,0.4522925195385188
ZScoreBaseline,0.4518049869743208,0.28,0.06758889269487307,0.4522925195385188
ZScoreBaseline,0.4525493114998139,0.28,0.06746389363051183,0.4522925195385188
ZScoreBaseline,0.45403796055080015,0.28,0.06717357376684757,0.4522925195385188
ZScoreBaseline,0.45478228507629326,0.28,0.06714852268676028,0.4522925195385188
ZScoreBaseline,0.4558987718645329,0.28,0.06706427334711562,0.4522925195385188
ZScoreBaseline,0.4558987718645329,0.3,0.06681505171070072,0.4522925195385188
ZScoreBaseline,0.47227391142538144,0.3,0.06428184455878891,0.4522925195385188
ZScoreBaseline,0.4737625604763677,0.3,0.06415713696099325,0.4522925195385188
ZScoreBaseline,0.4748790472646074,0.3,0.064069021832647,0.4522925195385188
ZScoreBaseline,0.4748790472646074,0.31,0.06401561012997417,0.4522925195385188
